Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,Name
Middle East and North Africa,Morocco,Clothes,Online,M,14-09-2013,667593514,19/10/13,4611,109.28,35.84,Haze
Sub-Saharan Africa,Seychelles ,Beverages,Online,M,18-01-2013,425793445,16/02/13,597,47.45,31.79,John
Sub-Saharan Africa,Tanzania,Beverages,Online,L,30-11-2016,659878194,16/01/17,1476,47.45,31.79,Zaved
Europe,France,Cosmetics,Online,M,07-12-2015,324669444,18/01/16,5758,437.2,263.33,Hary
Europe,United Kingdom,Cosmetics,Online,L,01-05-2015,135178029,16/05/15,1038,437.2,263.33,Keech
Asia,India,Snacks,Online,L,10-10-2012,440306556,20/11/12,5349,152.58,97.44,Feriha
Sub-Saharan Africa,Togo,Cosmetics,Online,M,08-09-2015,563681733,09/09/15,4806,437.2,263.33,Emily
Europe,Ukraine,Cosmetics,Online,M,08-02-2014,942602765,27/02/14,5960,437.2,263.33,HanTaeSu
Europe,Monaco,Personal Care,Online,M,16-03-2015,934613645,22/03/15,1801,81.73,56.67,Watson
Asia,Thailand,Fruits,Online,M,29-06-2017,980155408,04/07/17,8621,9.33,6.92,James
Europe,Ukraine,Fruits,Online,L,23-11-2016,110557496,24/12/16,5275,9.33,6.92,Sonio
